meter_id,risk_score,risk_category
MT_001,0.0413644573042104,Low Risk
MT_002,0.07610305958132044,Low Risk
MT_003,0.01610305958132045,Low Risk
MT_004,0.01610305958132045,Low Risk
MT_005,0.01610305958132045,Low Risk
MT_006,0.01610305958132045,Low Risk
MT_007,0.056027115117698534,Low Risk
MT_008,0.03610305958132045,Low Risk
MT_009,0.017586091853958995,Low Risk
MT_010,0.0,Low Risk
MT_011,0.01610305958132045,Low Risk
MT_012,0.01610305958132045,Low Risk
MT_013,0.007407407407407407,Low Risk
MT_014,0.007407407407407407,Low Risk
MT_015,0.0,Low Risk
MT_016,0.8189107827531871,High Risk
MT_017,0.426182190175408,Medium Risk
MT_018,0.05610305958132045,Low Risk
MT_019,0.09407407407407406,Low Risk
MT_020,0.01610305958132045,Low Risk
MT_021,0.01610305958132045,Low Risk
MT_022,0.008695652173913044,Low Risk
MT_023,0.03610305958132045,Low Risk
MT_024,0.05610305958132045,Low Risk
MT_025,0.01629959383328867,Low Risk
MT_026,0.05610305958132045,Low Risk
MT_027,0.01610305958132045,Low Risk
MT_028,0.01610305958132045,Low Risk
MT_029,0.008695652173913044,Low Risk
MT_030,0.05610305958132045,Low Risk
MT_031,0.03610305958132045,Low Risk
MT_032,0.05610305958132045,Low Risk
MT_033,0.05610305958132045,Low Risk
MT_034,0.8400000000000001,High Risk
MT_035,0.01610305958132045,Low Risk
MT_036,0.017474064693488917,Low Risk
MT_037,0.03610305958132045,Low Risk
MT_038,0.03610305958132045,Low Risk
MT_039,0.05610305958132045,Low Risk
MT_040,0.34310504079003573,Medium Risk
MT_041,0.05610305958132045,Low Risk
MT_042,0.03610305958132045,Low Risk
MT_043,0.07610305958132044,Low Risk
MT_044,0.09407407407407406,Low Risk
MT_045,0.01610305958132045,Low Risk
MT_046,0.008695652173913044,Low Risk
MT_047,0.03610305958132045,Low Risk
MT_048,0.30735458501255425,Medium Risk
MT_049,0.0747680943081088,Low Risk
MT_050,0.01610305958132045,Low Risk
MT_051,0.13407407407407407,Low Risk
MT_052,0.03610305958132045,Low Risk
MT_053,0.09407407407407406,Low Risk
MT_054,0.11820044655836444,Low Risk
MT_055,0.07610305958132044,Low Risk
MT_056,0.514114616782664,Medium Risk
MT_057,0.01610305958132045,Low Risk
MT_058,0.9945125964149863,High Risk
MT_059,0.09687110630056317,Low Risk
MT_060,0.17467413770987136,Low Risk
MT_061,0.0,Low Risk
MT_062,0.01610305958132045,Low Risk
MT_063,0.13407407407407407,Low Risk
MT_064,0.008695652173913044,Low Risk
MT_065,0.03610305958132045,Low Risk
MT_066,0.04,Low Risk
MT_067,0.01610305958132045,Low Risk
MT_068,0.11407407407407408,Low Risk
MT_069,0.008695652173913044,Low Risk
MT_070,0.03610305958132045,Low Risk
MT_071,0.01610305958132045,Low Risk
MT_072,0.008695652173913044,Low Risk
MT_073,0.01610305958132045,Low Risk
MT_074,0.03610305958132045,Low Risk
MT_075,0.03610305958132045,Low Risk
MT_076,0.01610305958132045,Low Risk
MT_077,0.3340740740740741,Medium Risk
MT_078,0.01610305958132045,Low Risk
MT_079,0.05610305958132045,Low Risk
MT_080,0.11087705450136023,Low Risk
MT_081,0.021512020077718276,Low Risk
MT_082,0.03610305958132045,Low Risk
MT_083,0.051980313483693655,Low Risk
MT_084,0.01610305958132045,Low Risk
MT_085,0.03610305958132045,Low Risk
MT_086,0.03610305958132045,Low Risk
MT_087,0.07610305958132044,Low Risk
MT_088,0.0,Low Risk
MT_089,0.008695652173913044,Low Risk
MT_090,0.2338230881106586,Low Risk
MT_091,0.06960147108975509,Low Risk
MT_092,0.007407407407407407,Low Risk
MT_093,0.43122570421400985,Medium Risk
MT_094,0.07610305958132044,Low Risk
MT_095,0.01610305958132045,Low Risk
MT_096,0.01610305958132045,Low Risk
MT_097,0.007407407407407407,Low Risk
MT_098,0.008695652173913044,Low Risk
MT_099,0.0,Low Risk
MT_100,0.0,Low Risk
MT_101,0.0,Low Risk
MT_102,0.0,Low Risk
MT_103,0.0,Low Risk
MT_104,0.0,Low Risk
MT_105,0.0,Low Risk
MT_106,0.01610305958132045,Low Risk
MT_107,0.2530559527631682,Low Risk
MT_108,0.07610305958132044,Low Risk
MT_109,0.007975991481604345,Low Risk
MT_110,0.01610305958132045,Low Risk
MT_111,0.008695652173913044,Low Risk
MT_112,0.01610305958132045,Low Risk
MT_113,0.26407053830039784,Low Risk
MT_114,0.0,Low Risk
MT_115,0.01610305958132045,Low Risk
MT_116,0.07610305958132044,Low Risk
MT_117,0.007407407407407407,Low Risk
MT_118,0.05610305958132045,Low Risk
MT_119,0.09831135776742793,Low Risk
MT_120,0.8583901758221064,High Risk
MT_121,0.03610305958132045,Low Risk
MT_122,0.01610305958132045,Low Risk
MT_123,0.03610305958132045,Low Risk
MT_124,0.07610305958132044,Low Risk
MT_125,0.0,Low Risk
MT_126,0.0,Low Risk
MT_127,0.7678777214143039,High Risk
MT_128,0.07610305958132044,Low Risk
MT_129,0.0,Low Risk
MT_130,0.13407407407407407,Low Risk
MT_131,0.13407407407407407,Low Risk
MT_132,0.13407407407407407,Low Risk
MT_133,0.008695652173913044,Low Risk
MT_134,0.01610305958132045,Low Risk
MT_135,0.008695652173913044,Low Risk
MT_136,0.028695652173913046,Low Risk
MT_137,0.008695652173913044,Low Risk
MT_138,0.0,Low Risk
MT_139,0.01610305958132045,Low Risk
MT_140,0.6716693800225685,Medium Risk
MT_141,0.01610305958132045,Low Risk
MT_142,0.0,Low Risk
MT_143,0.0,Low Risk
MT_144,0.01610305958132045,Low Risk
MT_145,0.11403818160087445,Low Risk
MT_146,0.053121814333596175,Low Risk
MT_147,0.09407407407407406,Low Risk
MT_148,0.4427486881844616,Medium Risk
MT_149,0.4522821235959144,Medium Risk
MT_150,0.03610305958132045,Low Risk
MT_151,0.0,Low Risk
MT_152,0.3340740740740741,Medium Risk
MT_153,0.05610305958132045,Low Risk
MT_154,0.5401919543768587,Medium Risk
MT_155,0.03610305958132045,Low Risk
MT_156,1.0,High Risk
MT_157,0.0,Low Risk
